day,season,count
Friday,fall,6891.928571428572
Friday,springer,3724.076923076923
Friday,summer,6725.307692307692
Friday,winter,6121.25
Monday,fall,6788.2307692307695
Monday,springer,3269.3571428571427
Monday,summer,5424.153846153846
Monday,winter,5442.307692307692
Saturday,fall,6597.428571428572
Saturday,springer,3346.076923076923
Saturday,summer,6710.0
Saturday,winter,6247.583333333333
Sunday,fall,6178.0
Sunday,springer,2972.3571428571427
Sunday,summer,6006.384615384615
Sunday,winter,5149.461538461538
Thursday,fall,7091.428571428572
Thursday,springer,4089.3333333333335
Thursday,summer,6600.2307692307695
Thursday,winter,5899.076923076923
Tuesday,fall,6830.2307692307695
Tuesday,springer,3920.230769230769
Tuesday,summer,5947.153846153846
Tuesday,winter,5515.538461538462
Wednesday,fall,7384.153846153846
Wednesday,springer,3501.4166666666665
Wednesday,summer,6064.357142857143
Wednesday,winter,6228.2307692307695
