season,year,hour,day,count
1,0,0,6,16
1,0,1,6,40
1,0,2,6,32
1,0,3,6,13
1,0,4,6,1
1,0,5,6,1
1,0,6,6,2
1,0,7,6,3
1,0,8,6,8
1,0,9,6,14
1,0,10,6,36
1,0,11,6,56
1,0,12,6,84
1,0,13,6,94
1,0,14,6,106
1,0,15,6,110
1,0,16,6,93
1,0,17,6,67
1,0,18,6,35
1,0,19,6,37
1,0,20,6,36
1,0,21,6,34
1,0,22,6,28
1,0,23,6,39
1,0,0,0,17
1,0,1,0,17
1,0,2,0,9
1,0,3,0,6
1,0,4,0,3
1,0,6,0,2
1,0,7,0,1
1,0,8,0,8
1,0,9,0,20
1,0,10,0,53
1,0,11,0,70
1,0,12,0,93
1,0,13,0,75
1,0,14,0,59
1,0,15,0,74
1,0,16,0,76
1,0,17,0,65
1,0,18,0,53
1,0,19,0,30
1,0,20,0,22
1,0,21,0,31
1,0,22,0,9
1,0,23,0,8
1,0,0,1,5
1,0,1,1,2
1,0,4,1,1
1,0,5,1,3
1,0,6,1,30
1,0,7,1,64
1,0,8,1,154
1,0,9,1,88
1,0,10,1,44
1,0,11,1,51
1,0,12,1,61
1,0,13,1,61
1,0,14,1,77
1,0,15,1,72
1,0,16,1,76
1,0,17,1,157
1,0,18,1,157
1,0,19,1,110
1,0,20,1,52
1,0,21,1,52
1,0,22,1,20
1,0,23,1,12
1,0,0,2,5
1,0,1,2,2
1,0,2,2,1
1,0,4,2,2
1,0,5,2,4
1,0,6,2,36
1,0,7,2,94
1,0,8,2,179
1,0,9,2,100
1,0,10,2,42
1,0,11,2,57
1,0,12,2,78
1,0,13,2,97
1,0,14,2,63
1,0,15,2,65
1,0,16,2,83
1,0,17,2,212
1,0,18,2,182
1,0,19,2,112
1,0,20,2,54
1,0,21,2,48
1,0,22,2,35
1,0,23,2,11
1,0,0,3,6
1,0,1,3,6
1,0,2,3,2
1,0,4,3,2
1,0,5,3,3
1,0,6,3,33
1,0,7,3,88
1,0,8,3,195
1,0,9,3,115
1,0,10,3,57
1,0,11,3,46
1,0,12,3,79
1,0,13,3,71
1,0,14,3,62
1,0,15,3,62
1,0,16,3,89
1,0,17,3,190
1,0,18,3,169
1,0,19,3,132
1,0,20,3,89
1,0,21,3,43
1,0,22,3,42
1,0,23,3,19
1,0,0,4,11
1,0,1,4,4
1,0,2,4,2
1,0,4,4,1
1,0,5,4,4
1,0,6,4,36
1,0,7,4,95
1,0,8,4,219
1,0,9,4,122
1,0,10,4,45
1,0,11,4,59
1,0,12,4,84
1,0,13,4,67
1,0,14,4,70
1,0,15,4,62
1,0,16,4,86
1,0,17,4,172
1,0,18,4,163
1,0,19,4,112
1,0,20,4,69
1,0,21,4,48
1,0,22,4,52
1,0,23,4,23
1,0,0,5,17
1,0,1,5,7
1,0,2,5,1
1,0,4,5,1
